Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5961840,MH_12,COUNTRY,MLI,AFR,Africa,YEAR,2000,SEX,SEX_MLE,,,,,,,10.6 [5.1-21.1],10.6138,5.08,21.1243,,2021-02-09T16:59:01Z,2000,2000-01-01,2000-12-31
5963855,MH_12,COUNTRY,CIV,AFR,Africa,YEAR,2012,SEX,SEX_MLE,,,,,,,31.8 [19.9-47.8],31.792,19.9345,47.8243,,2021-02-09T16:32:08Z,2012,2012-01-01,2012-12-31
5965378,MH_12,COUNTRY,GEO,EUR,Europe,YEAR,2001,SEX,SEX_MLE,,,,,,,10.8 [8.4-13.8],10.8122,8.36,13.8208,,2021-02-09T16:42:13Z,2001,2001-01-01,2001-12-31
5965456,MH_12,COUNTRY,SUR,AMR,Americas,YEAR,2010,SEX,SEX_BTSX,,,,,,,27.4 [20.5-35.5],27.4213,20.4991,35.5143,,2021-02-09T17:14:23Z,2010,2010-01-01,2010-12-31
5965740,MH_12,COUNTRY,CZE,EUR,Europe,YEAR,2007,SEX,SEX_BTSX,,,,,,,11.2 [9.9-12.7],11.2489,9.89,12.6897,,2021-02-09T16:35:46Z,2007,2007-01-01,2007-12-31
5965815,MH_12,COUNTRY,MOZ,AFR,Africa,YEAR,2001,SEX,SEX_MLE,,,,,,,36.3 [23.3-53.5],36.3351,23.2829,53.4635,,2021-02-09T17:00:46Z,2001,2001-01-01,2001-12-31
5965825,MH_12,COUNTRY,COM,AFR,Africa,YEAR,2018,SEX,SEX_BTSX,,,,,,,8.5 [4.2-15.7],8.48,4.17,15.7255,,2021-02-09T16:33:59Z,2018,2018-01-01,2018-12-31
5966185,MH_12,COUNTRY,CRI,AMR,Americas,YEAR,2011,SEX,SEX_FMLE,,,,,,,2.3 [1.8-2.8],2.26,1.75,2.84,,2021-02-09T16:34:41Z,2011,2011-01-01,2011-12-31
5966817,MH_12,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2005,SEX,SEX_FMLE,,,,,,,3.8 [1.9-6.7],3.79,1.89,6.71,,2021-02-09T17:10:55Z,2005,2005-01-01,2005-12-31
5968312,MH_12,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2003,SEX,SEX_FMLE,,,,,,,2.2 [1.3-3.4],2.15,1.25,3.38,,2021-02-09T16:53:51Z,2003,2003-01-01,2003-12-31
5969539,MH_12,COUNTRY,TJK,EUR,Europe,YEAR,2003,SEX,SEX_MLE,,,,,,,6.5 [4.6-8.7],6.46,4.57,8.74,,2021-02-09T17:17:57Z,2003,2003-01-01,2003-12-31
5969606,MH_12,COUNTRY,MYS,WPR,Western Pacific,YEAR,2014,SEX,SEX_BTSX,,,,,,,5.1 [3.5-7.3],5.1,3.51,7.33,,2021-02-09T17:02:14Z,2014,2014-01-01,2014-12-31
